"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cell wall organisation","Cell wall organisation","Cell wall organisation","46/373","641/35106",0.0717628705148206,6.75417515360132,15.236692650225,1.72458376218103e-24,4.48391778167068e-23,3.08609725863974e-23,"HORVU.MOREX.r3.1HG0027850/HORVU.MOREX.r3.1HG0041280/HORVU.MOREX.r3.1HG0055480/HORVU.MOREX.r3.1HG0067020/HORVU.MOREX.r3.2HG0111610/HORVU.MOREX.r3.2HG0111640/HORVU.MOREX.r3.2HG0152530/HORVU.MOREX.r3.2HG0192540/HORVU.MOREX.r3.3HG0221900/HORVU.MOREX.r3.3HG0223500/HORVU.MOREX.r3.3HG0274450/HORVU.MOREX.r3.3HG0278710/HORVU.MOREX.r3.3HG0288960/HORVU.MOREX.r3.3HG0291490/HORVU.MOREX.r3.3HG0297700/HORVU.MOREX.r3.3HG0298340/HORVU.MOREX.r3.3HG0307560/HORVU.MOREX.r3.3HG0312020/HORVU.MOREX.r3.3HG0312050/HORVU.MOREX.r3.4HG0340370/HORVU.MOREX.r3.4HG0381260/HORVU.MOREX.r3.4HG0382260/HORVU.MOREX.r3.4HG0383410/HORVU.MOREX.r3.4HG0383570/HORVU.MOREX.r3.4HG0391100/HORVU.MOREX.r3.4HG0405920/HORVU.MOREX.r3.4HG0409870/HORVU.MOREX.r3.4HG0418230/HORVU.MOREX.r3.5HG0482670/HORVU.MOREX.r3.5HG0493200/HORVU.MOREX.r3.5HG0511330/HORVU.MOREX.r3.5HG0517170/HORVU.MOREX.r3.5HG0525440/HORVU.MOREX.r3.5HG0530450/HORVU.MOREX.r3.6HG0550800/HORVU.MOREX.r3.6HG0564510/HORVU.MOREX.r3.6HG0566220/HORVU.MOREX.r3.6HG0607960/HORVU.MOREX.r3.6HG0617300/HORVU.MOREX.r3.7HG0663150/HORVU.MOREX.r3.7HG0672060/HORVU.MOREX.r3.7HG0698110/HORVU.MOREX.r3.7HG0711200/HORVU.MOREX.r3.7HG0714980/HORVU.MOREX.r3.7HG0716400/HORVU.MOREX.r3.7HG0726260",46
"Cytoskeleton organisation","Cytoskeleton organisation","Cytoskeleton organisation","25/373","324/35106",0.0771604938271605,7.26218846192037,11.7351628254489,1.65279852814434e-14,2.14863808658764e-13,1.47881973570809e-13,"HORVU.MOREX.r3.1HG0024230/HORVU.MOREX.r3.1HG0074980/HORVU.MOREX.r3.1HG0076800/HORVU.MOREX.r3.1HG0080900/HORVU.MOREX.r3.2HG0132170/HORVU.MOREX.r3.2HG0184670/HORVU.MOREX.r3.3HG0219790/HORVU.MOREX.r3.3HG0246420/HORVU.MOREX.r3.3HG0259870/HORVU.MOREX.r3.3HG0273340/HORVU.MOREX.r3.3HG0300080/HORVU.MOREX.r3.3HG0305770/HORVU.MOREX.r3.4HG0333380/HORVU.MOREX.r3.4HG0392120/HORVU.MOREX.r3.4HG0405400/HORVU.MOREX.r3.5HG0432340/HORVU.MOREX.r3.5HG0468240/HORVU.MOREX.r3.5HG0508870/HORVU.MOREX.r3.5HG0520100/HORVU.MOREX.r3.5HG0526120/HORVU.MOREX.r3.6HG0589860/HORVU.MOREX.r3.6HG0599140/HORVU.MOREX.r3.6HG0619820/HORVU.MOREX.r3.7HG0647310/HORVU.MOREX.r3.7HG0687260",25
"Phytohormone action","Phytohormone action","Phytohormone action","22/373","641/35106",0.0343213728549142,3.23025768215715,5.90558158671339,1.82146170489881e-06,1.57860014424564e-05,1.08648592923789e-05,"HORVU.MOREX.r3.1HG0023840/HORVU.MOREX.r3.1HG0093420/HORVU.MOREX.r3.2HG0170250/HORVU.MOREX.r3.2HG0209290/HORVU.MOREX.r3.2HG0211040/HORVU.MOREX.r3.2HG0213660/HORVU.MOREX.r3.3HG0239900/HORVU.MOREX.r3.3HG0249060/HORVU.MOREX.r3.3HG0285210/HORVU.MOREX.r3.3HG0321410/HORVU.MOREX.r3.4HG0350240/HORVU.MOREX.r3.4HG0354980/HORVU.MOREX.r3.4HG0378980/HORVU.MOREX.r3.5HG0433470/HORVU.MOREX.r3.5HG0460770/HORVU.MOREX.r3.5HG0509760/HORVU.MOREX.r3.5HG0517290/HORVU.MOREX.r3.6HG0568450/HORVU.MOREX.r3.6HG0624390/HORVU.MOREX.r3.6HG0630560/HORVU.MOREX.r3.7HG0711070/HORVU.MOREX.r3.7HG0718610",22
"Cell division","Cell division","Cell division","15/373","530/35106",0.0283018867924528,2.66371591886287,3.99942436936471,0.000623287435230605,0.00405136832899894,0.0027883911576106,"HORVU.MOREX.r3.1HG0031520/HORVU.MOREX.r3.1HG0038550/HORVU.MOREX.r3.2HG0109850/HORVU.MOREX.r3.2HG0126020/HORVU.MOREX.r3.2HG0126960/HORVU.MOREX.r3.2HG0156930/HORVU.MOREX.r3.2HG0168700/HORVU.MOREX.r3.2HG0177120/HORVU.MOREX.r3.2HG0199160/HORVU.MOREX.r3.2HG0209810/HORVU.MOREX.r3.3HG0299300/HORVU.MOREX.r3.5HG0471110/HORVU.MOREX.r3.5HG0494140/HORVU.MOREX.r3.6HG0595110/HORVU.MOREX.r3.7HG0720600",15
"Protein modification","Protein modification","Protein modification","26/373","1243/35106",0.0209171359613838,1.96867821731994,3.60346359885501,0.0008944393745786,0.00465108474780872,0.00320115144586025,"HORVU.MOREX.r3.1HG0057490/HORVU.MOREX.r3.1HG0062140/HORVU.MOREX.r3.1HG0066150/HORVU.MOREX.r3.1HG0075780/HORVU.MOREX.r3.2HG0123080/HORVU.MOREX.r3.2HG0168350/HORVU.MOREX.r3.2HG0180710/HORVU.MOREX.r3.2HG0183930/HORVU.MOREX.r3.2HG0189950/HORVU.MOREX.r3.2HG0214260/HORVU.MOREX.r3.3HG0245080/HORVU.MOREX.r3.3HG0247420/HORVU.MOREX.r3.3HG0256430/HORVU.MOREX.r3.3HG0270750/HORVU.MOREX.r3.4HG0354250/HORVU.MOREX.r3.4HG0405780/HORVU.MOREX.r3.5HG0454300/HORVU.MOREX.r3.5HG0477460/HORVU.MOREX.r3.5HG0529200/HORVU.MOREX.r3.6HG0542970/HORVU.MOREX.r3.6HG0606710/HORVU.MOREX.r3.6HG0611640/HORVU.MOREX.r3.7HG0685970/HORVU.MOREX.r3.7HG0720050/HORVU.MOREX.r3.7HG0722360/HORVU.MOREX.r3.7HG0743900",26
"Multi-process regulation","Multi-process regulation","Multi-process regulation","12/373","462/35106",0.025974025974026,2.44462240172696,3.2391351908329,0.00422485909223979,0.0183077227330391,0.0126004569417678,"HORVU.MOREX.r3.1HG0088960/HORVU.MOREX.r3.3HG0269030/HORVU.MOREX.r3.3HG0288480/HORVU.MOREX.r3.3HG0294980/HORVU.MOREX.r3.3HG0309760/HORVU.MOREX.r3.4HG0373780/HORVU.MOREX.r3.4HG0390910/HORVU.MOREX.r3.5HG0460300/HORVU.MOREX.r3.5HG0501980/HORVU.MOREX.r3.6HG0609900/HORVU.MOREX.r3.7HG0671910/HORVU.MOREX.r3.7HG0727290",12
"Plant organogenesis","Plant organogenesis","Plant organogenesis","4/373","86/35106",0.0465116279069767,4.37757964960409,3.24985893704554,0.0134568464939245,0.0499825726917197,0.0344009609619123,"HORVU.MOREX.r3.2HG0143250/HORVU.MOREX.r3.3HG0227750/HORVU.MOREX.r3.5HG0438910/HORVU.MOREX.r3.6HG0540370",4
"Protein homeostasis","Protein homeostasis","Protein homeostasis","24/373","1421/35106",0.0168895144264602,1.58960668486679,2.35130473476202,0.0180413969023827,0.0586345399327439,0.040355756229014,"HORVU.MOREX.r3.1HG0055410/HORVU.MOREX.r3.2HG0100390/HORVU.MOREX.r3.2HG0132270/HORVU.MOREX.r3.2HG0160480/HORVU.MOREX.r3.3HG0255520/HORVU.MOREX.r3.3HG0274060/HORVU.MOREX.r3.3HG0303660/HORVU.MOREX.r3.3HG0313410/HORVU.MOREX.r3.4HG0362040/HORVU.MOREX.r3.4HG0380410/HORVU.MOREX.r3.4HG0389430/HORVU.MOREX.r3.5HG0429600/HORVU.MOREX.r3.5HG0455490/HORVU.MOREX.r3.5HG0462580/HORVU.MOREX.r3.5HG0471520/HORVU.MOREX.r3.5HG0497770/HORVU.MOREX.r3.5HG0508410/HORVU.MOREX.r3.5HG0521710/HORVU.MOREX.r3.5HG0522560/HORVU.MOREX.r3.7HG0642360/HORVU.MOREX.r3.7HG0658700/HORVU.MOREX.r3.7HG0686900/HORVU.MOREX.r3.7HG0739540/HORVU.MOREX.r3.7HG0739550",24
"Carbohydrate metabolism","Carbohydrate metabolism","Carbohydrate metabolism","7/373","259/35106",0.027027027027027,2.54372871531048,2.58407981365165,0.0213883255213568,0.0617884959505862,0.0425264951886626,"HORVU.MOREX.r3.2HG0191090/HORVU.MOREX.r3.2HG0192250/HORVU.MOREX.r3.4HG0389060/HORVU.MOREX.r3.4HG0391730/HORVU.MOREX.r3.5HG0484240/HORVU.MOREX.r3.7HG0639980/HORVU.MOREX.r3.7HG0750150",7
