"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"P4-type ATPase component *(ALA)","P4-type ATPase component *(ALA)","P4-type ATPase component *(ALA)","2/519","10/35106",0.2,13.528323699422,4.85373292628226,0.0090745576533692,0.0369594941035742,0.0155618922541365,"HORVU.MOREX.r3.1HG0034380/HORVU.MOREX.r3.3HG0257460",2
"substrate adaptor *(DCAF1)","substrate adaptor *(DCAF1)","substrate adaptor *(DCAF1)","1/519","1/35106",1,67.6416184971098,8.16343178431166,0.0147837976414297,0.0369594941035742,0.0155618922541365,"HORVU.MOREX.r3.2HG0216500",1
"substrate adaptor *(SKIP16)","substrate adaptor *(SKIP16)","substrate adaptor *(SKIP16)","1/519","2/35106",0.5,33.8208092485549,5.68588014269697,0.0293494495150686,0.048915749191781,0.0205961049228551,"HORVU.MOREX.r3.4HG0343510",1
"component *(SANT1/2/++)","component *(SANT1/2/++)","component *(SANT1/2/++)","1/519","4/35106",0.25,16.9104046242775,3.89813620624849,0.0578391198447756,0.0722988998059695,0.0304416420235661,"HORVU.MOREX.r3.2HG0133690",1
