"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"3-ketoacyl-CoA synthase *(KCS)","3-ketoacyl-CoA synthase *(KCS)","3-ketoacyl-CoA synthase *(KCS)","4/114","54/35106",0.0740740740740741,22.8109161793372,9.15518065894826,2.94244309449677e-05,0.000323668740394645,9.29192556156875e-05,"HORVU.MOREX.r3.4HG0401580/HORVU.MOREX.r3.4HG0405320/HORVU.MOREX.r3.6HG0628580/HORVU.MOREX.r3.7HG0639840",4
"catalytic protein *(SPO11-2)","catalytic protein *(SPO11-2)","catalytic protein *(SPO11-2)","1/114","1/35106",1,307.947368421053,17.5199134821224,0.00324730815245267,0.0119067965589931,0.00341821910784491,"HORVU.MOREX.r3.7HG0699350",1
"stabilizing component *(PIG-X)","stabilizing component *(PIG-X)","stabilizing component *(PIG-X)","1/114","1/35106",1,307.947368421053,17.5199134821224,0.00324730815245267,0.0119067965589931,0.00341821910784491,"HORVU.MOREX.r3.5HG0436640",1
"aldehyde-generating component *(CER3)","aldehyde-generating component *(CER3)","aldehyde-generating component *(CER3)","1/114","3/35106",0.333333333333333,102.649122807018,10.0495051486239,0.00971059938355479,0.0213633186438205,0.00613301013698197,"HORVU.MOREX.r3.6HG0569590",1
"subgroup-1 transcription factor","subgroup-1 transcription factor","subgroup-1 transcription factor","1/114","3/35106",0.333333333333333,102.649122807018,10.0495051486239,0.00971059938355479,0.0213633186438205,0.00613301013698197,"HORVU.MOREX.r3.2HG0122400",1
"E3 ubiquitin ligase *(AIRP1)","E3 ubiquitin ligase *(AIRP1)","E3 ubiquitin ligase *(AIRP1)","1/114","5/35106",0.2,61.5894736842105,7.73348004028026,0.0161323456552249,0.029575967034579,0.00849070823959206,"HORVU.MOREX.r3.6HG0630600",1
"basic chitinase *(CHIB)","basic chitinase *(CHIB)","basic chitinase *(CHIB)","1/114","7/35106",0.142857142857143,43.9924812030075,6.49301924279141,0.0225128116633826,0.0353772754710298,0.0101561556376162,"HORVU.MOREX.r3.7HG0742440",1
"ABC2 subfamily-G half-size transporter *(WBC1/2/3)","ABC2 subfamily-G half-size transporter *(WBC1/2/3)","ABC2 subfamily-G half-size transporter *(WBC1/2/3)","1/114","11/35106",0.0909090909090909,27.9952153110048,5.11108432755774,0.0351509533258124,0.0483325608229921,0.0138753763128207,"HORVU.MOREX.r3.4HG0401260",1
