"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"pre-40S ribosomal subunit nuclear assembly","pre-40S ribosomal subunit nuclear assembly","pre-40S ribosomal subunit nuclear assembly","25/1542","43/35106",0.581395348837209,13.2363587005701,17.2088445206761,2.74550282454604e-23,1.19429372867753e-20,6.53140671944637e-21,"HORVU.MOREX.r3.1HG0014620/HORVU.MOREX.r3.1HG0069950/HORVU.MOREX.r3.1HG0086720/HORVU.MOREX.r3.2HG0196300/HORVU.MOREX.r3.2HG0197290/HORVU.MOREX.r3.2HG0209150/HORVU.MOREX.r3.2HG0214620/HORVU.MOREX.r3.3HG0250210/HORVU.MOREX.r3.3HG0295850/HORVU.MOREX.r3.4HG0341160/HORVU.MOREX.r3.4HG0344470/HORVU.MOREX.r3.4HG0379010/HORVU.MOREX.r3.4HG0383540/HORVU.MOREX.r3.4HG0411240/HORVU.MOREX.r3.5HG0420730/HORVU.MOREX.r3.5HG0430390/HORVU.MOREX.r3.5HG0454500/HORVU.MOREX.r3.5HG0461960/HORVU.MOREX.r3.5HG0493910/HORVU.MOREX.r3.5HG0519230/HORVU.MOREX.r3.7HG0699910/HORVU.MOREX.r3.7HG0710080/HORVU.MOREX.r3.7HG0722670/HORVU.MOREX.r3.7HG0745010/HORVU.MOREX.r3.7HG0747280",25
"pre-60S ribosomal subunit nuclear assembly","pre-60S ribosomal subunit nuclear assembly","pre-60S ribosomal subunit nuclear assembly","21/1542","29/35106",0.724137931034483,16.4861129746411,17.8821618002626,8.42999599314246e-23,1.83352412850849e-20,1.00272583918431e-20,"HORVU.MOREX.r3.1HG0019380/HORVU.MOREX.r3.1HG0060300/HORVU.MOREX.r3.1HG0086250/HORVU.MOREX.r3.1HG0093090/HORVU.MOREX.r3.1HG0095090/HORVU.MOREX.r3.2HG0110720/HORVU.MOREX.r3.2HG0127540/HORVU.MOREX.r3.2HG0142760/HORVU.MOREX.r3.2HG0196710/HORVU.MOREX.r3.3HG0229250/HORVU.MOREX.r3.4HG0335750/HORVU.MOREX.r3.4HG0375670/HORVU.MOREX.r3.4HG0377890/HORVU.MOREX.r3.5HG0480210/HORVU.MOREX.r3.5HG0505300/HORVU.MOREX.r3.5HG0520790/HORVU.MOREX.r3.6HG0589890/HORVU.MOREX.r3.7HG0647360/HORVU.MOREX.r3.7HG0648330/HORVU.MOREX.r3.7HG0661600/HORVU.MOREX.r3.7HG0715150",21
"CLB19 RNA editing module","CLB19 RNA editing module","CLB19 RNA editing module","4/1542","4/35106",1,22.7665369649805,9.33132300303796,3.70847356230928e-06,0.000537728666534846,0.000294075447397157,"HORVU.MOREX.r3.1HG0081580/HORVU.MOREX.r3.1HG0094040/HORVU.MOREX.r3.3HG0269760/HORVU.MOREX.r3.6HG0618810",4
"C/D small nucleolar ribonucleoprotein (snoRNP) rRNA methylation complex","C/D small nucleolar ribonucleoprotein (snoRNP) rRNA methylation complex","C/D small nucleolar ribonucleoprotein (snoRNP) rRNA methylation complex","5/1542","9/35106",0.555555555555556,12.6480760916559,7.49083576285333,1.7649001993065e-05,0.00155664038813187,0.000851302426419366,"HORVU.MOREX.r3.1HG0084680/HORVU.MOREX.r3.2HG0114930/HORVU.MOREX.r3.2HG0116280/HORVU.MOREX.r3.6HG0630670/HORVU.MOREX.r3.7HG0738150",5
"PCNA sliding clamp loader complex","PCNA sliding clamp loader complex","PCNA sliding clamp loader complex","4/1542","5/35106",0.8,18.2132295719844,8.25044622117868,1.78924182543893e-05,0.00155664038813187,0.000851302426419366,"HORVU.MOREX.r3.2HG0187470/HORVU.MOREX.r3.5HG0517610/HORVU.MOREX.r3.6HG0617940/HORVU.MOREX.r3.7HG0721820",4
"SSU processome assembly","SSU processome assembly","SSU processome assembly","5/1542","10/35106",0.5,11.3832684824903,7.03874274064818,3.40154959685583e-05,0.00246612345772048,0.00134868457699898,"HORVU.MOREX.r3.2HG0116060/HORVU.MOREX.r3.2HG0141000/HORVU.MOREX.r3.2HG0191430/HORVU.MOREX.r3.3HG0232850/HORVU.MOREX.r3.7HG0643180",5
"insertion into membrane","insertion into membrane","insertion into membrane","3/1542","3/35106",1,22.7665369649805,8.08104766428855,8.45864505898263e-05,0.00525644371522492,0.00287466734335349,"HORVU.MOREX.r3.1HG0050990/HORVU.MOREX.r3.1HG0051020/HORVU.MOREX.r3.4HG0413960",3
"eIF2B GDP recycling complex","eIF2B GDP recycling complex","eIF2B GDP recycling complex","4/1542","7/35106",0.571428571428571,13.0094496942746,6.8110579446008,0.000116639455855176,0.00634227041212517,0.00346848908200917,"HORVU.MOREX.r3.5HG0456970/HORVU.MOREX.r3.5HG0508180/HORVU.MOREX.r3.6HG0628240/HORVU.MOREX.r3.7HG0711390",4
"rRNA processing factor *(APUM24)","rRNA processing factor *(APUM24)","rRNA processing factor *(APUM24)","3/1542","4/35106",0.75,17.0749027237354,6.89131715343235,0.000327220381672377,0.0158156517808316,0.00864933406525815,"HORVU.MOREX.r3.5HG0488110/HORVU.MOREX.r3.5HG0488130/HORVU.MOREX.r3.5HG0528860",3
"eIF2 Met-tRNA binding factor complex","eIF2 Met-tRNA binding factor complex","eIF2 Met-tRNA binding factor complex","4/1542","9/35106",0.444444444444444,10.1184608733247,5.86404933094572,0.000391130691887661,0.0170141850971132,0.00930479330174856,"HORVU.MOREX.r3.1HG0077420/HORVU.MOREX.r3.2HG0108540/HORVU.MOREX.r3.4HG0384040/HORVU.MOREX.r3.5HG0439040",4
