"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"component *(eIF3c)","component *(eIF3c)","component *(eIF3c)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.5HG0482220/HORVU.MOREX.r3.5HG0513560",2
"component *(MAC3)","component *(MAC3)","component *(MAC3)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.1HG0041060/HORVU.MOREX.r3.4HG0411750",2
"component *(mS87)","component *(mS87)","component *(mS87)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.3HG0247050/HORVU.MOREX.r3.4HG0337220",2
"component *(RACK1)","component *(RACK1)","component *(RACK1)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.1HG0084340/HORVU.MOREX.r3.3HG0280990",2
"component *(TRM11)","component *(TRM11)","component *(TRM11)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.2HG0199540/HORVU.MOREX.r3.3HG0240520",2
"component *(TRM6)","component *(TRM6)","component *(TRM6)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.2HG0095990/HORVU.MOREX.r3.3HG0224710",2
"component *(uL3)","component *(uL3)","component *(uL3)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.4HG0349380/HORVU.MOREX.r3.5HG0455100",2
"N-acetylglucosamine transferase *(GnT-I)","N-acetylglucosamine transferase *(GnT-I)","N-acetylglucosamine transferase *(GnT-I)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.3HG0319760/HORVU.MOREX.r3.6HG0634130",2
"O-fucosyltransferase *(PAGR)","O-fucosyltransferase *(PAGR)","O-fucosyltransferase *(PAGR)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.6HG0564590/HORVU.MOREX.r3.7HG0731320",2
"regulatory protein *(NCL)","regulatory protein *(NCL)","regulatory protein *(NCL)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0419368636771035,0.0229346187320639,"HORVU.MOREX.r3.2HG0195080/HORVU.MOREX.r3.7HG0696930",2
"pre-60S ribosomal subunit nuclear export","pre-60S ribosomal subunit nuclear export","pre-60S ribosomal subunit nuclear export","3/1542","7/35106",0.428571428571429,9.75708727070595,4.96650807031896,0.00259111607899402,0.0536731187791619,0.0293529941780777,"HORVU.MOREX.r3.5HG0423800/HORVU.MOREX.r3.5HG0446440/HORVU.MOREX.r3.6HG0591300",3
"ALG13-ALG14 UDP-N-acetylglucosamine transferase heterodimer","ALG13-ALG14 UDP-N-acetylglucosamine transferase heterodimer","ALG13-ALG14 UDP-N-acetylglucosamine transferase heterodimer","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.2HG0159210/HORVU.MOREX.r3.4HG0403970",2
"chaperone *(HSCA)","chaperone *(HSCA)","chaperone *(HSCA)","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.3HG0290320/HORVU.MOREX.r3.5HG0491130",2
"component *(uL1)","component *(uL1)","component *(uL1)","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.4HG0332160/HORVU.MOREX.r3.7HG0689220",2
"condensin-II-specific components","condensin-II-specific components","condensin-II-specific components","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.4HG0342990/HORVU.MOREX.r3.5HG0526320",2
"LHP1 modification reader activity","LHP1 modification reader activity","LHP1 modification reader activity","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.6HG0546130/HORVU.MOREX.r3.7HG0712810",2
"membrane juxtaposition-dependent route","membrane juxtaposition-dependent route","membrane juxtaposition-dependent route","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.1HG0052940/HORVU.MOREX.r3.5HG0531680",2
"recombinase *(RecA)","recombinase *(RecA)","recombinase *(RecA)","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.3HG0305240/HORVU.MOREX.r3.3HG0319320",2
"recombination mediator *(RAD52)","recombination mediator *(RAD52)","recombination mediator *(RAD52)","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.3HG0298200/HORVU.MOREX.r3.5HG0535000",2
"ssDNA-binding protein *(SSB)","ssDNA-binding protein *(SSB)","ssDNA-binding protein *(SSB)","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.3HG0275170/HORVU.MOREX.r3.3HG0292560",2
"TAD2-TAD3 tRNA adenosine deaminase complex","TAD2-TAD3 tRNA adenosine deaminase complex","TAD2-TAD3 tRNA adenosine deaminase complex","2/1542","3/35106",0.666666666666667,15.177691309987,5.26361172794292,0.00561522208876567,0.0787942454391311,0.043091347777964,"HORVU.MOREX.r3.4HG0380310/HORVU.MOREX.r3.5HG0468620",2
"A/B-GATA-type transcription factor","A/B-GATA-type transcription factor","A/B-GATA-type transcription factor","4/1542","19/35106",0.210526315789474,4.79295515052222,3.54463244868596,0.00846622955236647,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0076900/HORVU.MOREX.r3.3HG0330940/HORVU.MOREX.r3.5HG0454780/HORVU.MOREX.r3.5HG0528890",4
"ATP-dependent phosphofructokinase","ATP-dependent phosphofructokinase","ATP-dependent phosphofructokinase","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0076530/HORVU.MOREX.r3.3HG0287610",2
"copper insertion","copper insertion","copper insertion","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0476620/HORVU.MOREX.r3.7HG0731740",2
"KEOPS/EKC threonylcarbamoyl-AMP synthase complex","KEOPS/EKC threonylcarbamoyl-AMP synthase complex","KEOPS/EKC threonylcarbamoyl-AMP synthase complex","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0030120/HORVU.MOREX.r3.3HG0228010",2
"pre-40S ribosomal subunit nuclear export","pre-40S ribosomal subunit nuclear export","pre-40S ribosomal subunit nuclear export","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0306670/HORVU.MOREX.r3.7HG0712780",2
"pyrophosphate-dependent phosphofructokinase","pyrophosphate-dependent phosphofructokinase","pyrophosphate-dependent phosphofructokinase","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0609360/HORVU.MOREX.r3.7HG0668730",2
"bHLH class-XII transcription factor *(CIB1/2/++)","bHLH class-XII transcription factor *(CIB1/2/++)","bHLH class-XII transcription factor *(CIB1/2/++)","3/1542","12/35106",0.25,5.69163424124514,3.48408028243873,0.0138118944708828,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0339300/HORVU.MOREX.r3.5HG0488370/HORVU.MOREX.r3.7HG0671700",3
"class-VI histone methyltransferase activities","class-VI histone methyltransferase activities","class-VI histone methyltransferase activities","2/1542","5/35106",0.4,9.10661478599222,3.88556889036657,0.017644564775232,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0199050/HORVU.MOREX.r3.4HG0336430",2
"Doa10 E3 ubiquitin ligase complex","Doa10 E3 ubiquitin ligase complex","Doa10 E3 ubiquitin ligase complex","2/1542","5/35106",0.4,9.10661478599222,3.88556889036657,0.017644564775232,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0093790/HORVU.MOREX.r3.5HG0513360",2
"molecular chaperone *(Hsp90)","molecular chaperone *(Hsp90)","molecular chaperone *(Hsp90)","2/1542","5/35106",0.4,9.10661478599222,3.88556889036657,0.017644564775232,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0447870/HORVU.MOREX.r3.5HG0490180",2
"CDC48 platform chaperone activities","CDC48 platform chaperone activities","CDC48 platform chaperone activities","2/1542","6/35106",0.333333333333333,7.58884565499351,3.45956281551386,0.0257015341140236,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0178740/HORVU.MOREX.r3.7HG0637320",2
"U2AF pre-RNA splicing factor heterodimer","U2AF pre-RNA splicing factor heterodimer","U2AF pre-RNA splicing factor heterodimer","2/1542","6/35106",0.333333333333333,7.58884565499351,3.45956281551386,0.0257015341140236,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0359330/HORVU.MOREX.r3.4HG0369460",2
"lid subcomplex","lid subcomplex","lid subcomplex","3/1542","16/35106",0.1875,4.26872568093385,2.8030871574925,0.0308587800869445,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0053650/HORVU.MOREX.r3.5HG0501120/HORVU.MOREX.r3.6HG0591570",3
"60S ribosomal subunit cytoplasmic maturation","60S ribosomal subunit cytoplasmic maturation","60S ribosomal subunit cytoplasmic maturation","2/1542","7/35106",0.285714285714286,6.5047248471373,3.12195819603711,0.0349457013280355,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0411190/HORVU.MOREX.r3.5HG0508060",2
"GeBP-type transcription factor","GeBP-type transcription factor","GeBP-type transcription factor","2/1542","7/35106",0.285714285714286,6.5047248471373,3.12195819603711,0.0349457013280355,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0618690/HORVU.MOREX.r3.7HG0668950",2
"HD-ZIP III-type transcription factor activity","HD-ZIP III-type transcription factor activity","HD-ZIP III-type transcription factor activity","2/1542","7/35106",0.285714285714286,6.5047248471373,3.12195819603711,0.0349457013280355,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0244080/HORVU.MOREX.r3.4HG0417970",2
"NDC80 complex","NDC80 complex","NDC80 complex","2/1542","7/35106",0.285714285714286,6.5047248471373,3.12195819603711,0.0349457013280355,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0296480/HORVU.MOREX.r3.6HG0558840",2
"alpha-1,2-mannosyltransferase *(ALG9)","alpha-1,2-mannosyltransferase *(ALG9)","alpha-1,2-mannosyltransferase *(ALG9)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0246370",1
"alpha-1,3-fucosyltransferase","alpha-1,3-fucosyltransferase","alpha-1,3-fucosyltransferase","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0693910",1
"alpha-1,3-glucosyltransferase *(ALG8)","alpha-1,3-glucosyltransferase *(ALG8)","alpha-1,3-glucosyltransferase *(ALG8)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0605090",1
"arginine methyltransferase *(PRMT5/CAU1)","arginine methyltransferase *(PRMT5/CAU1)","arginine methyltransferase *(PRMT5/CAU1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0557080",1
"assembly chaperone *(MZM1L)","assembly chaperone *(MZM1L)","assembly chaperone *(MZM1L)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0060570",1
"assembly factor *(HCF243/PAP90)","assembly factor *(HCF243/PAP90)","assembly factor *(HCF243/PAP90)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0089130",1
"assembly factor *(INDL)","assembly factor *(INDL)","assembly factor *(INDL)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0340960",1
"assembly factor *(NDUFAF4)","assembly factor *(NDUFAF4)","assembly factor *(NDUFAF4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0445520",1
"assembly factor *(NDUFAF5)","assembly factor *(NDUFAF5)","assembly factor *(NDUFAF5)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0568640",1
"catalytic component","catalytic component","catalytic component","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0488150",1
"catalytic component *(POL2/POLE1)","catalytic component *(POL2/POLE1)","catalytic component *(POL2/POLE1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0038170",1
"catalytic component *(POLA1)","catalytic component *(POLA1)","catalytic component *(POLA1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0299370",1
"chaperone *(ATP10)","chaperone *(ATP10)","chaperone *(ATP10)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0027680",1
"chaperone *(HSCB)","chaperone *(HSCB)","chaperone *(HSCB)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0672240",1
"chaperone regulator *(HSA32)","chaperone regulator *(HSA32)","chaperone regulator *(HSA32)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0732330",1
"chromatin remodeling factor *(SMARCAL1)","chromatin remodeling factor *(SMARCAL1)","chromatin remodeling factor *(SMARCAL1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0128410",1
"co-regulator component *(TIFY10)","co-regulator component *(TIFY10)","co-regulator component *(TIFY10)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0480600",1
"cofactor *(TFC-C)","cofactor *(TFC-C)","cofactor *(TFC-C)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0408050",1
"cofactor *(TFC-D)","cofactor *(TFC-D)","cofactor *(TFC-D)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0050160",1
"component *(ArpC4)","component *(ArpC4)","component *(ArpC4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0533820",1
"component *(BORR)","component *(BORR)","component *(BORR)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0624580",1
"component *(CAP-E2/SMC2)","component *(CAP-E2/SMC2)","component *(CAP-E2/SMC2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0304800",1
"component *(CDC73/PHP)","component *(CDC73/PHP)","component *(CDC73/PHP)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0333530",1
"component *(COG7)","component *(COG7)","component *(COG7)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0736930",1
"component *(eIF3e)","component *(eIF3e)","component *(eIF3e)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0490320",1
"component *(eIF3f)","component *(eIF3f)","component *(eIF3f)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0551860",1
"component *(eIF3i)","component *(eIF3i)","component *(eIF3i)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0370630",1
"component *(eIF3j)","component *(eIF3j)","component *(eIF3j)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0548940",1
"component *(eL37)","component *(eL37)","component *(eL37)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0628850",1
"component *(ELP2)","component *(ELP2)","component *(ELP2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0021770",1
"component *(ELP3)","component *(ELP3)","component *(ELP3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0176660",1
"component *(ELP4)","component *(ELP4)","component *(ELP4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0745890",1
"component *(ELP5)","component *(ELP5)","component *(ELP5)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.4HG0398870",1
"component *(KU70)","component *(KU70)","component *(KU70)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0430720",1
"component *(KU80)","component *(KU80)","component *(KU80)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0536500",1
"component *(MAC17/snRNP40)","component *(MAC17/snRNP40)","component *(MAC17/snRNP40)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0741190",1
"component *(mL102)","component *(mL102)","component *(mL102)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0542950",1
"component *(mL103)","component *(mL103)","component *(mL103)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0596990",1
"component *(mL104)","component *(mL104)","component *(mL104)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0127140",1
"component *(mL106)","component *(mL106)","component *(mL106)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0535460",1
"component *(mL40)","component *(mL40)","component *(mL40)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.5HG0531550",1
"component *(mL46)","component *(mL46)","component *(mL46)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.7HG0674340",1
"component *(mS35)","component *(mS35)","component *(mS35)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0290660",1
"component *(mS47)","component *(mS47)","component *(mS47)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.1HG0056230",1
"component *(mS77)","component *(mS77)","component *(mS77)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.6HG0593640",1
"component *(mS78/mS79)","component *(mS78/mS79)","component *(mS78/mS79)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0294190",1
"component *(mS80)","component *(mS80)","component *(mS80)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.3HG0305790",1
"component *(mS83)","component *(mS83)","component *(mS83)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.09230430076365,0.0504797869875013,"HORVU.MOREX.r3.2HG0114570",1
