"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"assembly factor *(UTP7)","assembly factor *(UTP7)","assembly factor *(UTP7)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0347063699396719,0.0115011362373182,"HORVU.MOREX.r3.2HG0214620/HORVU.MOREX.r3.4HG0341160",2
"component *(BRIX1)","component *(BRIX1)","component *(BRIX1)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0347063699396719,0.0115011362373182,"HORVU.MOREX.r3.2HG0196710/HORVU.MOREX.r3.6HG0589890",2
"component *(eIF2-alpha)","component *(eIF2-alpha)","component *(eIF2-alpha)","2/1542","2/35106",1,22.7665369649805,6.59805380753702,0.0019281316633151,0.0347063699396719,0.0115011362373182,"HORVU.MOREX.r3.2HG0108540/HORVU.MOREX.r3.4HG0384040",2
"subunit beta","subunit beta","subunit beta","2/1542","4/35106",0.5,11.3832684824903,4.45131130382674,0.010903223795859,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.6HG0540200/HORVU.MOREX.r3.6HG0542960",2
"assembly factor *(BMS1)","assembly factor *(BMS1)","assembly factor *(BMS1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.4HG0379010",1
"assembly factor *(DIM2)","assembly factor *(DIM2)","assembly factor *(DIM2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.4HG0344470",1
"assembly factor *(ENP1)","assembly factor *(ENP1)","assembly factor *(ENP1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.2HG0209150",1
"assembly factor *(Imp4)","assembly factor *(Imp4)","assembly factor *(Imp4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0699910",1
"assembly factor *(KRI1)","assembly factor *(KRI1)","assembly factor *(KRI1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0069950",1
"assembly factor *(Mpp10)","assembly factor *(Mpp10)","assembly factor *(Mpp10)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0461960",1
"assembly factor *(NOC4)","assembly factor *(NOC4)","assembly factor *(NOC4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.2HG0196300",1
"assembly factor *(Sof1)","assembly factor *(Sof1)","assembly factor *(Sof1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.3HG0250210",1
"assembly factor *(UTP1/PWP2)","assembly factor *(UTP1/PWP2)","assembly factor *(UTP1/PWP2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0086720",1
"assembly factor *(UTP11)","assembly factor *(UTP11)","assembly factor *(UTP11)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.3HG0295850",1
"assembly factor *(UTP12)","assembly factor *(UTP12)","assembly factor *(UTP12)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.4HG0411240",1
"assembly factor *(UTP13/TOZ)","assembly factor *(UTP13/TOZ)","assembly factor *(UTP13/TOZ)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.2HG0197290",1
"assembly factor *(UTP15/SWA1)","assembly factor *(UTP15/SWA1)","assembly factor *(UTP15/SWA1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0747280",1
"assembly factor *(UTP17)","assembly factor *(UTP17)","assembly factor *(UTP17)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0430390",1
"assembly factor *(UTP2/NOP14)","assembly factor *(UTP2/NOP14)","assembly factor *(UTP2/NOP14)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0493910",1
"assembly factor *(UTP21)","assembly factor *(UTP21)","assembly factor *(UTP21)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0745010",1
"assembly factor *(UTP22)","assembly factor *(UTP22)","assembly factor *(UTP22)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0454500",1
"component *(APC1)","component *(APC1)","component *(APC1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0061720",1
"component *(APC5)","component *(APC5)","component *(APC5)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0423990",1
"component *(ARPF2)","component *(ARPF2)","component *(ARPF2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0480210",1
"component *(BOP1)","component *(BOP1)","component *(BOP1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0505300",1
"component *(DGS1)","component *(DGS1)","component *(DGS1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0052940",1
"component *(Mic10)","component *(Mic10)","component *(Mic10)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0531680",1
