"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"component *(NOC1/SWA2)","component *(NOC1/SWA2)","component *(NOC1/SWA2)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.6HG0591300",1
"component *(NOC3)","component *(NOC3)","component *(NOC3)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.5HG0446440",1
"component *(PES)","component *(PES)","component *(PES)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.4HG0335750",1
"component *(SCEP1)","component *(SCEP1)","component *(SCEP1)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0692170",1
"component *(WDR12)","component *(WDR12)","component *(WDR12)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.2HG0127540",1
"component CBP80","component CBP80","component CBP80","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.4HG0377830",1
"DHR1-regulatory protein *(UTP14)","DHR1-regulatory protein *(UTP14)","DHR1-regulatory protein *(UTP14)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0710080",1
"regulatory protein *(THAL)","regulatory protein *(THAL)","regulatory protein *(THAL)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.7HG0722670",1
"substrate adaptor *(SNIPER4)","substrate adaptor *(SNIPER4)","substrate adaptor *(SNIPER4)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0048040",1
"substrate adaptor *(WDR55)","substrate adaptor *(WDR55)","substrate adaptor *(WDR55)","1/1542","1/35106",1,22.7665369649805,4.66546213841464,0.0439241155358059,0.0641054659171221,0.021243526717175,"HORVU.MOREX.r3.1HG0082020",1
