"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Protein biosynthesis","Protein biosynthesis","Protein biosynthesis","155/1542","415/35106",0.373493975903614,8.50316440860719,32.9571706677004,2.69862696451532e-101,8.36574358999748e-100,5.6813199252954e-100,"HORVU.MOREX.r3.1HG0014620/HORVU.MOREX.r3.1HG0019380/HORVU.MOREX.r3.1HG0021330/HORVU.MOREX.r3.1HG0022680/HORVU.MOREX.r3.1HG0056230/HORVU.MOREX.r3.1HG0060300/HORVU.MOREX.r3.1HG0069950/HORVU.MOREX.r3.1HG0077420/HORVU.MOREX.r3.1HG0084340/HORVU.MOREX.r3.1HG0084680/HORVU.MOREX.r3.1HG0086250/HORVU.MOREX.r3.1HG0086720/HORVU.MOREX.r3.1HG0089590/HORVU.MOREX.r3.1HG0093090/HORVU.MOREX.r3.1HG0095090/HORVU.MOREX.r3.2HG0107080/HORVU.MOREX.r3.2HG0107850/HORVU.MOREX.r3.2HG0108540/HORVU.MOREX.r3.2HG0110720/HORVU.MOREX.r3.2HG0114570/HORVU.MOREX.r3.2HG0114930/HORVU.MOREX.r3.2HG0116060/HORVU.MOREX.r3.2HG0116280/HORVU.MOREX.r3.2HG0120200/HORVU.MOREX.r3.2HG0127140/HORVU.MOREX.r3.2HG0127540/HORVU.MOREX.r3.2HG0141000/HORVU.MOREX.r3.2HG0142760/HORVU.MOREX.r3.2HG0177450/HORVU.MOREX.r3.2HG0191430/HORVU.MOREX.r3.2HG0194250/HORVU.MOREX.r3.2HG0195080/HORVU.MOREX.r3.2HG0196300/HORVU.MOREX.r3.2HG0196710/HORVU.MOREX.r3.2HG0197290/HORVU.MOREX.r3.2HG0202400/HORVU.MOREX.r3.2HG0209150/HORVU.MOREX.r3.2HG0214620/HORVU.MOREX.r3.3HG0224450/HORVU.MOREX.r3.3HG0229250/HORVU.MOREX.r3.3HG0229650/HORVU.MOREX.r3.3HG0232850/HORVU.MOREX.r3.3HG0237450/HORVU.MOREX.r3.3HG0237720/HORVU.MOREX.r3.3HG0247050/HORVU.MOREX.r3.3HG0250210/HORVU.MOREX.r3.3HG0280990/HORVU.MOREX.r3.3HG0290660/HORVU.MOREX.r3.3HG0294190/HORVU.MOREX.r3.3HG0295660/HORVU.MOREX.r3.3HG0295850/HORVU.MOREX.r3.3HG0305790/HORVU.MOREX.r3.3HG0306670/HORVU.MOREX.r3.4HG0332160/HORVU.MOREX.r3.4HG0335750/HORVU.MOREX.r3.4HG0337220/HORVU.MOREX.r3.4HG0341160/HORVU.MOREX.r3.4HG0343180/HORVU.MOREX.r3.4HG0344470/HORVU.MOREX.r3.4HG0349380/HORVU.MOREX.r3.4HG0370630/HORVU.MOREX.r3.4HG0375670/HORVU.MOREX.r3.4HG0377890/HORVU.MOREX.r3.4HG0379010/HORVU.MOREX.r3.4HG0383540/HORVU.MOREX.r3.4HG0384040/HORVU.MOREX.r3.4HG0385270/HORVU.MOREX.r3.4HG0398810/HORVU.MOREX.r3.4HG0399210/HORVU.MOREX.r3.4HG0411190/HORVU.MOREX.r3.4HG0411240/HORVU.MOREX.r3.5HG0420730/HORVU.MOREX.r3.5HG0421560/HORVU.MOREX.r3.5HG0423800/HORVU.MOREX.r3.5HG0430390/HORVU.MOREX.r3.5HG0439040/HORVU.MOREX.r3.5HG0446440/HORVU.MOREX.r3.5HG0447730/HORVU.MOREX.r3.5HG0448610/HORVU.MOREX.r3.5HG0454500/HORVU.MOREX.r3.5HG0455100/HORVU.MOREX.r3.5HG0456970/HORVU.MOREX.r3.5HG0461960/HORVU.MOREX.r3.5HG0466770/HORVU.MOREX.r3.5HG0467810/HORVU.MOREX.r3.5HG0468290/HORVU.MOREX.r3.5HG0468500/HORVU.MOREX.r3.5HG0480210/HORVU.MOREX.r3.5HG0480320/HORVU.MOREX.r3.5HG0482220/HORVU.MOREX.r3.5HG0488110/HORVU.MOREX.r3.5HG0488130/HORVU.MOREX.r3.5HG0490320/HORVU.MOREX.r3.5HG0493910/HORVU.MOREX.r3.5HG0505300/HORVU.MOREX.r3.5HG0508060/HORVU.MOREX.r3.5HG0508180/HORVU.MOREX.r3.5HG0513560/HORVU.MOREX.r3.5HG0514790/HORVU.MOREX.r3.5HG0519230/HORVU.MOREX.r3.5HG0519720/HORVU.MOREX.r3.5HG0520790/HORVU.MOREX.r3.5HG0528860/HORVU.MOREX.r3.5HG0529130/HORVU.MOREX.r3.5HG0529140/HORVU.MOREX.r3.5HG0530580/HORVU.MOREX.r3.5HG0531550/HORVU.MOREX.r3.5HG0534640/HORVU.MOREX.r3.5HG0535460/HORVU.MOREX.r3.6HG0542950/HORVU.MOREX.r3.6HG0544400/HORVU.MOREX.r3.6HG0548940/HORVU.MOREX.r3.6HG0550880/HORVU.MOREX.r3.6HG0551860/HORVU.MOREX.r3.6HG0579150/HORVU.MOREX.r3.6HG0589890/HORVU.MOREX.r3.6HG0591300/HORVU.MOREX.r3.6HG0592920/HORVU.MOREX.r3.6HG0593260/HORVU.MOREX.r3.6HG0593640/HORVU.MOREX.r3.6HG0596990/HORVU.MOREX.r3.6HG0619760/HORVU.MOREX.r3.6HG0622490/HORVU.MOREX.r3.6HG0628240/HORVU.MOREX.r3.6HG0628850/HORVU.MOREX.r3.6HG0628940/HORVU.MOREX.r3.6HG0630670/HORVU.MOREX.r3.7HG0643180/HORVU.MOREX.r3.7HG0643190/HORVU.MOREX.r3.7HG0647360/HORVU.MOREX.r3.7HG0648330/HORVU.MOREX.r3.7HG0654170/HORVU.MOREX.r3.7HG0661600/HORVU.MOREX.r3.7HG0667910/HORVU.MOREX.r3.7HG0674340/HORVU.MOREX.r3.7HG0683960/HORVU.MOREX.r3.7HG0685290/HORVU.MOREX.r3.7HG0689220/HORVU.MOREX.r3.7HG0696930/HORVU.MOREX.r3.7HG0699910/HORVU.MOREX.r3.7HG0701140/HORVU.MOREX.r3.7HG0710080/HORVU.MOREX.r3.7HG0711390/HORVU.MOREX.r3.7HG0712610/HORVU.MOREX.r3.7HG0712780/HORVU.MOREX.r3.7HG0712920/HORVU.MOREX.r3.7HG0715150/HORVU.MOREX.r3.7HG0719480/HORVU.MOREX.r3.7HG0722670/HORVU.MOREX.r3.7HG0735200/HORVU.MOREX.r3.7HG0738150/HORVU.MOREX.r3.7HG0738670/HORVU.MOREX.r3.7HG0744860/HORVU.MOREX.r3.7HG0745010/HORVU.MOREX.r3.7HG0747280",155
"RNA processing","RNA processing","RNA processing","112/1542","499/35106",0.224448897795591,5.10992412841247,19.8194646889011,2.03710505841088e-47,3.15751284053686e-46,2.14432111411671e-46,"HORVU.MOREX.r3.1HG0020210/HORVU.MOREX.r3.1HG0025350/HORVU.MOREX.r3.1HG0030120/HORVU.MOREX.r3.1HG0032760/HORVU.MOREX.r3.1HG0041060/HORVU.MOREX.r3.1HG0054820/HORVU.MOREX.r3.1HG0067270/HORVU.MOREX.r3.1HG0071760/HORVU.MOREX.r3.1HG0078510/HORVU.MOREX.r3.1HG0078760/HORVU.MOREX.r3.1HG0081580/HORVU.MOREX.r3.1HG0081780/HORVU.MOREX.r3.1HG0094040/HORVU.MOREX.r3.2HG0095990/HORVU.MOREX.r3.2HG0096530/HORVU.MOREX.r3.2HG0100410/HORVU.MOREX.r3.2HG0113530/HORVU.MOREX.r3.2HG0119160/HORVU.MOREX.r3.2HG0121300/HORVU.MOREX.r3.2HG0121320/HORVU.MOREX.r3.2HG0123800/HORVU.MOREX.r3.2HG0129410/HORVU.MOREX.r3.2HG0137000/HORVU.MOREX.r3.2HG0141420/HORVU.MOREX.r3.2HG0149820/HORVU.MOREX.r3.2HG0168890/HORVU.MOREX.r3.2HG0170210/HORVU.MOREX.r3.2HG0180950/HORVU.MOREX.r3.2HG0183320/HORVU.MOREX.r3.2HG0188110/HORVU.MOREX.r3.2HG0199540/HORVU.MOREX.r3.3HG0224710/HORVU.MOREX.r3.3HG0228010/HORVU.MOREX.r3.3HG0230700/HORVU.MOREX.r3.3HG0233670/HORVU.MOREX.r3.3HG0233700/HORVU.MOREX.r3.3HG0236840/HORVU.MOREX.r3.3HG0240520/HORVU.MOREX.r3.3HG0248300/HORVU.MOREX.r3.3HG0252620/HORVU.MOREX.r3.3HG0258630/HORVU.MOREX.r3.3HG0259260/HORVU.MOREX.r3.3HG0269760/HORVU.MOREX.r3.3HG0300900/HORVU.MOREX.r3.3HG0310510/HORVU.MOREX.r3.3HG0323480/HORVU.MOREX.r3.4HG0334380/HORVU.MOREX.r3.4HG0334460/HORVU.MOREX.r3.4HG0343060/HORVU.MOREX.r3.4HG0355850/HORVU.MOREX.r3.4HG0359330/HORVU.MOREX.r3.4HG0361950/HORVU.MOREX.r3.4HG0369460/HORVU.MOREX.r3.4HG0375880/HORVU.MOREX.r3.4HG0377830/HORVU.MOREX.r3.4HG0380310/HORVU.MOREX.r3.4HG0385210/HORVU.MOREX.r3.4HG0388500/HORVU.MOREX.r3.4HG0399920/HORVU.MOREX.r3.4HG0411750/HORVU.MOREX.r3.4HG0412180/HORVU.MOREX.r3.4HG0414480/HORVU.MOREX.r3.4HG0416540/HORVU.MOREX.r3.4HG0417170/HORVU.MOREX.r3.5HG0429940/HORVU.MOREX.r3.5HG0447170/HORVU.MOREX.r3.5HG0467490/HORVU.MOREX.r3.5HG0467500/HORVU.MOREX.r3.5HG0468620/HORVU.MOREX.r3.5HG0478980/HORVU.MOREX.r3.5HG0482090/HORVU.MOREX.r3.5HG0487010/HORVU.MOREX.r3.5HG0488150/HORVU.MOREX.r3.5HG0488290/HORVU.MOREX.r3.5HG0488680/HORVU.MOREX.r3.5HG0493400/HORVU.MOREX.r3.5HG0493430/HORVU.MOREX.r3.5HG0495740/HORVU.MOREX.r3.5HG0501160/HORVU.MOREX.r3.5HG0505890/HORVU.MOREX.r3.5HG0510120/HORVU.MOREX.r3.5HG0513920/HORVU.MOREX.r3.5HG0518530/HORVU.MOREX.r3.5HG0529430/HORVU.MOREX.r3.5HG0534960/HORVU.MOREX.r3.5HG0535750/HORVU.MOREX.r3.6HG0541540/HORVU.MOREX.r3.6HG0557080/HORVU.MOREX.r3.6HG0588960/HORVU.MOREX.r3.6HG0592070/HORVU.MOREX.r3.6HG0602680/HORVU.MOREX.r3.6HG0603200/HORVU.MOREX.r3.6HG0611730/HORVU.MOREX.r3.6HG0614630/HORVU.MOREX.r3.6HG0616960/HORVU.MOREX.r3.6HG0618810/HORVU.MOREX.r3.6HG0623090/HORVU.MOREX.r3.7HG0642820/HORVU.MOREX.r3.7HG0644530/HORVU.MOREX.r3.7HG0650310/HORVU.MOREX.r3.7HG0666560/HORVU.MOREX.r3.7HG0687080/HORVU.MOREX.r3.7HG0689490/HORVU.MOREX.r3.7HG0701910/HORVU.MOREX.r3.7HG0705220/HORVU.MOREX.r3.7HG0708040/HORVU.MOREX.r3.7HG0726560/HORVU.MOREX.r3.7HG0735360/HORVU.MOREX.r3.7HG0740150/HORVU.MOREX.r3.7HG0741190/HORVU.MOREX.r3.7HG0748410/HORVU.MOREX.r3.7HG0752950",112
"Cell division","Cell division","Cell division","61/1542","530/35106",0.115094339622642,2.62029953747889,8.05630106323222,8.75990910733138e-12,9.05190607757576e-11,6.14730463672377e-11,"HORVU.MOREX.r3.1HG0005370/HORVU.MOREX.r3.1HG0007230/HORVU.MOREX.r3.1HG0038170/HORVU.MOREX.r3.1HG0057670/HORVU.MOREX.r3.1HG0061720/HORVU.MOREX.r3.1HG0074730/HORVU.MOREX.r3.1HG0082770/HORVU.MOREX.r3.1HG0085420/HORVU.MOREX.r3.2HG0123420/HORVU.MOREX.r3.2HG0169030/HORVU.MOREX.r3.2HG0169090/HORVU.MOREX.r3.2HG0178750/HORVU.MOREX.r3.2HG0187470/HORVU.MOREX.r3.2HG0193160/HORVU.MOREX.r3.2HG0206920/HORVU.MOREX.r3.2HG0207380/HORVU.MOREX.r3.3HG0233300/HORVU.MOREX.r3.3HG0247640/HORVU.MOREX.r3.3HG0252970/HORVU.MOREX.r3.3HG0254050/HORVU.MOREX.r3.3HG0264440/HORVU.MOREX.r3.3HG0272100/HORVU.MOREX.r3.3HG0275170/HORVU.MOREX.r3.3HG0292560/HORVU.MOREX.r3.3HG0296480/HORVU.MOREX.r3.3HG0298200/HORVU.MOREX.r3.3HG0299370/HORVU.MOREX.r3.3HG0304800/HORVU.MOREX.r3.3HG0305240/HORVU.MOREX.r3.3HG0319320/HORVU.MOREX.r3.3HG0319950/HORVU.MOREX.r3.3HG0327630/HORVU.MOREX.r3.4HG0338990/HORVU.MOREX.r3.4HG0342990/HORVU.MOREX.r3.4HG0347060/HORVU.MOREX.r3.4HG0353330/HORVU.MOREX.r3.4HG0385890/HORVU.MOREX.r3.4HG0393510/HORVU.MOREX.r3.4HG0407200/HORVU.MOREX.r3.4HG0407610/HORVU.MOREX.r3.4HG0413490/HORVU.MOREX.r3.5HG0423990/HORVU.MOREX.r3.5HG0441110/HORVU.MOREX.r3.5HG0463960/HORVU.MOREX.r3.5HG0471060/HORVU.MOREX.r3.5HG0507940/HORVU.MOREX.r3.5HG0517610/HORVU.MOREX.r3.5HG0526320/HORVU.MOREX.r3.5HG0535000/HORVU.MOREX.r3.6HG0558840/HORVU.MOREX.r3.6HG0564520/HORVU.MOREX.r3.6HG0567530/HORVU.MOREX.r3.6HG0595430/HORVU.MOREX.r3.6HG0617940/HORVU.MOREX.r3.6HG0624580/HORVU.MOREX.r3.7HG0642550/HORVU.MOREX.r3.7HG0674790/HORVU.MOREX.r3.7HG0677140/HORVU.MOREX.r3.7HG0692170/HORVU.MOREX.r3.7HG0721820/HORVU.MOREX.r3.7HG0725060",61
"RNA homeostasis","RNA homeostasis","RNA homeostasis","40/1542","301/35106",0.132890365448505,3.02545341727316,7.56440037559806,5.16374253529111e-10,4.00190046485061e-09,2.71775922910059e-09,"HORVU.MOREX.r3.1HG0004540/HORVU.MOREX.r3.1HG0037800/HORVU.MOREX.r3.1HG0070640/HORVU.MOREX.r3.1HG0086360/HORVU.MOREX.r3.1HG0094000/HORVU.MOREX.r3.2HG0097040/HORVU.MOREX.r3.2HG0102720/HORVU.MOREX.r3.2HG0121800/HORVU.MOREX.r3.2HG0122110/HORVU.MOREX.r3.2HG0160800/HORVU.MOREX.r3.2HG0172050/HORVU.MOREX.r3.2HG0174250/HORVU.MOREX.r3.2HG0177300/HORVU.MOREX.r3.2HG0191110/HORVU.MOREX.r3.2HG0207000/HORVU.MOREX.r3.3HG0264580/HORVU.MOREX.r3.3HG0271530/HORVU.MOREX.r3.3HG0274320/HORVU.MOREX.r3.3HG0298250/HORVU.MOREX.r3.3HG0303500/HORVU.MOREX.r3.3HG0305860/HORVU.MOREX.r3.4HG0341950/HORVU.MOREX.r3.4HG0349500/HORVU.MOREX.r3.4HG0409900/HORVU.MOREX.r3.4HG0410560/HORVU.MOREX.r3.5HG0431960/HORVU.MOREX.r3.5HG0455760/HORVU.MOREX.r3.5HG0467290/HORVU.MOREX.r3.5HG0478390/HORVU.MOREX.r3.5HG0484150/HORVU.MOREX.r3.5HG0492170/HORVU.MOREX.r3.5HG0495490/HORVU.MOREX.r3.5HG0517800/HORVU.MOREX.r3.5HG0536100/HORVU.MOREX.r3.6HG0565380/HORVU.MOREX.r3.6HG0567150/HORVU.MOREX.r3.6HG0627220/HORVU.MOREX.r3.7HG0701300/HORVU.MOREX.r3.7HG0708580/HORVU.MOREX.r3.7HG0732480",40
"Chromatin organisation","Chromatin organisation","Chromatin organisation","48/1542","483/35106",0.0993788819875776,2.26251299030863,5.98848398160283,1.46942712279646e-07,9.11044816133807e-07,6.18706156966932e-07,"HORVU.MOREX.r3.1HG0000630/HORVU.MOREX.r3.1HG0016810/HORVU.MOREX.r3.1HG0054500/HORVU.MOREX.r3.1HG0068790/HORVU.MOREX.r3.1HG0074440/HORVU.MOREX.r3.1HG0085240/HORVU.MOREX.r3.2HG0128410/HORVU.MOREX.r3.2HG0131320/HORVU.MOREX.r3.2HG0135860/HORVU.MOREX.r3.2HG0151430/HORVU.MOREX.r3.2HG0153380/HORVU.MOREX.r3.2HG0173240/HORVU.MOREX.r3.2HG0175710/HORVU.MOREX.r3.2HG0186680/HORVU.MOREX.r3.2HG0187800/HORVU.MOREX.r3.2HG0199050/HORVU.MOREX.r3.2HG0213240/HORVU.MOREX.r3.3HG0234750/HORVU.MOREX.r3.3HG0249700/HORVU.MOREX.r3.3HG0263410/HORVU.MOREX.r3.3HG0308530/HORVU.MOREX.r3.3HG0308580/HORVU.MOREX.r3.4HG0332960/HORVU.MOREX.r3.4HG0333740/HORVU.MOREX.r3.4HG0336430/HORVU.MOREX.r3.4HG0338270/HORVU.MOREX.r3.4HG0338790/HORVU.MOREX.r3.4HG0354490/HORVU.MOREX.r3.4HG0364440/HORVU.MOREX.r3.4HG0376720/HORVU.MOREX.r3.5HG0433570/HORVU.MOREX.r3.5HG0449030/HORVU.MOREX.r3.5HG0465260/HORVU.MOREX.r3.5HG0468930/HORVU.MOREX.r3.5HG0479210/HORVU.MOREX.r3.5HG0490830/HORVU.MOREX.r3.5HG0501270/HORVU.MOREX.r3.5HG0504450/HORVU.MOREX.r3.5HG0508600/HORVU.MOREX.r3.5HG0510940/HORVU.MOREX.r3.6HG0546130/HORVU.MOREX.r3.6HG0552550/HORVU.MOREX.r3.6HG0628050/HORVU.MOREX.r3.7HG0647610/HORVU.MOREX.r3.7HG0650920/HORVU.MOREX.r3.7HG0681330/HORVU.MOREX.r3.7HG0701580/HORVU.MOREX.r3.7HG0712810",48
"Protein translocation","Protein translocation","Protein translocation","26/1542","213/35106",0.122065727699531,2.77901390182861,5.58199968511211,2.6712761901074e-06,1.24816009126068e-05,8.47646921059888e-06,"HORVU.MOREX.r3.1HG0005810/HORVU.MOREX.r3.1HG0064750/HORVU.MOREX.r3.2HG0107100/HORVU.MOREX.r3.2HG0173350/HORVU.MOREX.r3.3HG0244050/HORVU.MOREX.r3.3HG0252850/HORVU.MOREX.r3.3HG0273010/HORVU.MOREX.r3.3HG0288320/HORVU.MOREX.r3.3HG0301030/HORVU.MOREX.r3.3HG0310680/HORVU.MOREX.r3.4HG0340600/HORVU.MOREX.r3.4HG0358890/HORVU.MOREX.r3.4HG0380110/HORVU.MOREX.r3.4HG0384440/HORVU.MOREX.r3.4HG0385160/HORVU.MOREX.r3.4HG0403800/HORVU.MOREX.r3.4HG0411870/HORVU.MOREX.r3.5HG0441660/HORVU.MOREX.r3.5HG0485990/HORVU.MOREX.r3.5HG0522500/HORVU.MOREX.r3.6HG0555590/HORVU.MOREX.r3.6HG0557980/HORVU.MOREX.r3.6HG0617350/HORVU.MOREX.r3.7HG0656260/HORVU.MOREX.r3.7HG0693420/HORVU.MOREX.r3.7HG0711810",26
"Cytoskeleton organisation","Cytoskeleton organisation","Cytoskeleton organisation","34/1542","324/35106",0.104938271604938,2.389081039535,5.38409398624022,2.81842601252413e-06,1.24816009126068e-05,8.47646921059888e-06,"HORVU.MOREX.r3.1HG0003140/HORVU.MOREX.r3.1HG0016910/HORVU.MOREX.r3.1HG0049980/HORVU.MOREX.r3.1HG0050160/HORVU.MOREX.r3.1HG0055300/HORVU.MOREX.r3.1HG0069570/HORVU.MOREX.r3.2HG0134490/HORVU.MOREX.r3.2HG0150100/HORVU.MOREX.r3.2HG0160160/HORVU.MOREX.r3.2HG0201840/HORVU.MOREX.r3.3HG0237910/HORVU.MOREX.r3.3HG0240560/HORVU.MOREX.r3.3HG0330790/HORVU.MOREX.r3.4HG0337850/HORVU.MOREX.r3.4HG0370780/HORVU.MOREX.r3.4HG0389470/HORVU.MOREX.r3.4HG0397450/HORVU.MOREX.r3.4HG0398320/HORVU.MOREX.r3.4HG0402000/HORVU.MOREX.r3.4HG0408050/HORVU.MOREX.r3.5HG0422600/HORVU.MOREX.r3.5HG0489720/HORVU.MOREX.r3.5HG0502130/HORVU.MOREX.r3.5HG0533820/HORVU.MOREX.r3.6HG0564480/HORVU.MOREX.r3.6HG0567160/HORVU.MOREX.r3.6HG0578610/HORVU.MOREX.r3.6HG0591310/HORVU.MOREX.r3.6HG0629320/HORVU.MOREX.r3.6HG0630550/HORVU.MOREX.r3.7HG0662210/HORVU.MOREX.r3.7HG0689320/HORVU.MOREX.r3.7HG0717720/HORVU.MOREX.r3.7HG0735620",34
"DNA damage response","DNA damage response","DNA damage response","16/1542","114/35106",0.140350877192982,3.19530343368148,5.03213656623453,3.93894682284747e-05,0.00015263418938534,0.000103656495338091,"HORVU.MOREX.r3.1HG0006690/HORVU.MOREX.r3.1HG0019930/HORVU.MOREX.r3.1HG0095290/HORVU.MOREX.r3.2HG0139330/HORVU.MOREX.r3.2HG0180690/HORVU.MOREX.r3.2HG0209100/HORVU.MOREX.r3.2HG0211030/HORVU.MOREX.r3.2HG0217790/HORVU.MOREX.r3.3HG0238730/HORVU.MOREX.r3.5HG0430720/HORVU.MOREX.r3.5HG0479520/HORVU.MOREX.r3.5HG0536500/HORVU.MOREX.r3.6HG0554520/HORVU.MOREX.r3.7HG0644260/HORVU.MOREX.r3.7HG0667530/HORVU.MOREX.r3.7HG0685480",16
"Nucleotide metabolism","Nucleotide metabolism","Nucleotide metabolism","15/1542","117/35106",0.128205128205128,2.91878679038212,4.45598484381834,0.000191685323913158,0.000660249449034211,0.000448386722603878,"HORVU.MOREX.r3.1HG0062760/HORVU.MOREX.r3.1HG0075360/HORVU.MOREX.r3.1HG0083980/HORVU.MOREX.r3.2HG0116500/HORVU.MOREX.r3.2HG0120210/HORVU.MOREX.r3.2HG0205550/HORVU.MOREX.r3.3HG0321260/HORVU.MOREX.r3.4HG0346530/HORVU.MOREX.r3.4HG0404110/HORVU.MOREX.r3.5HG0514980/HORVU.MOREX.r3.6HG0626930/HORVU.MOREX.r3.7HG0670020/HORVU.MOREX.r3.7HG0683710/HORVU.MOREX.r3.7HG0704160/HORVU.MOREX.r3.7HG0720840",15
"Cellular respiration","Cellular respiration","Cellular respiration","19/1542","189/35106",0.100529100529101,2.28869948325201,3.80762276171159,0.000702845045948075,0.00217881964243903,0.00147967378094332,"HORVU.MOREX.r3.1HG0027680/HORVU.MOREX.r3.1HG0050990/HORVU.MOREX.r3.1HG0051020/HORVU.MOREX.r3.1HG0060570/HORVU.MOREX.r3.1HG0076530/HORVU.MOREX.r3.3HG0275990/HORVU.MOREX.r3.3HG0287610/HORVU.MOREX.r3.3HG0326210/HORVU.MOREX.r3.4HG0413960/HORVU.MOREX.r3.5HG0445520/HORVU.MOREX.r3.5HG0476620/HORVU.MOREX.r3.6HG0568640/HORVU.MOREX.r3.6HG0582880/HORVU.MOREX.r3.6HG0609360/HORVU.MOREX.r3.7HG0656510/HORVU.MOREX.r3.7HG0668560/HORVU.MOREX.r3.7HG0668730/HORVU.MOREX.r3.7HG0677780/HORVU.MOREX.r3.7HG0731740",19
